url,weekid,week_position,song,artist,songid,instance,previous_week_position,peak_position,weeks_on_chart,debut_position,year,month,genre
http://www.billboard.com/charts/hot-100/2007-10-13,10/13/2007,45,Makes Me Wonder,Maroon 5,Makes Me WonderMaroon 5,1,36,1,26,84,2007,10,pop
http://www.billboard.com/charts/hot-100/2005-05-21,5/21/2005,70,Sunday Morning,Maroon 5,Sunday MorningMaroon 5,1,72,31,20,75,2005,5,pop
http://www.billboard.com/charts/hot-100/2005-04-30,4/30/2005,46,She Will Be Loved,Maroon 5,She Will Be LovedMaroon 5,1,43,5,41,50,2005,4,pop
http://www.billboard.com/charts/hot-100/2004-12-04,12/4/2004,49,This Love,Maroon 5,This LoveMaroon 5,1,46,5,43,66,2004,12,pop
http://www.billboard.com/charts/hot-100/2004-01-17,1/17/2004,50,Harder To Breathe,Maroon 5,Harder To BreatheMaroon 5,1,49,18,22,76,2004,1,pop
http://www.billboard.com/charts/hot-100/2004-01-17,1/17/2004,74,Clubbin,Marques Houston Featuring Joe Budden & Pied Piper,ClubbinMarques Houston Featuring Joe Budden & Pied Piper,1,67,39,20,81,2004,1,
http://www.billboard.com/charts/hot-100/2007-06-02,6/2/2007,81,Anyway,Martina McBride,AnywayMartina McBride,1,78,32,16,99,2007,6,country
http://www.billboard.com/charts/hot-100/2004-05-01,5/1/2004,93,In My Daughter's Eyes,Martina McBride,In My Daughter's EyesMartina McBride,1,90,39,16,72,2004,5,country
http://www.billboard.com/charts/hot-100/2003-12-20,12/20/2003,100,This One's For The Girls,Martina McBride,This One's For The GirlsMartina McBride,1,93,39,20,73,2003,12,country
http://www.billboard.com/charts/hot-100/2002-05-25,5/25/2002,70,Blessed,Martina McBride,BlessedMartina McBride,1,62,31,20,71,2002,5,country
http://www.billboard.com/charts/hot-100/2008-03-29,3/29/2008,40,Just Fine,Mary J. Blige,Just FineMary J. Blige,1,35,22,22,100,2008,3,r&b
http://www.billboard.com/charts/hot-100/2006-07-08,7/8/2006,49,Be Without You,Mary J. Blige,Be Without YouMary J. Blige,1,47,3,33,93,2006,7,r&b
http://www.billboard.com/charts/hot-100/2003-11-22,11/22/2003,100,Ooh!,Mary J. Blige,Ooh!Mary J. Blige,1,89,29,12,73,2003,11,r&b
http://www.billboard.com/charts/hot-100/2002-05-04,5/4/2002,46,Family Affair,Mary J. Blige,Family AffairMary J. Blige,1,47,1,41,76,2002,5,r&b
http://www.billboard.com/charts/hot-100/2002-04-27,4/27/2002,77,No More Drama,Mary J. Blige,No More DramaMary J. Blige,1,60,15,20,74,2002,4,r&b
http://www.billboard.com/charts/hot-100/2006-09-02,9/2/2006,100,Enough Cryin,Mary J. Blige Featuring Brook-Lyn,Enough CryinMary J. Blige Featuring Brook-Lyn,1,87,32,20,90,2006,9,r&b
http://www.billboard.com/charts/hot-100/2002-08-10,8/10/2002,83,Rainy Dayz,Mary J. Blige Featuring Ja Rule,Rainy DayzMary J. Blige Featuring Ja Rule,1,82,12,20,62,2002,8,r&b
http://www.billboard.com/charts/hot-100/2003-09-27,9/27/2003,100,Love At 1st Sight,Mary J. Blige Featuring Method Man,Love At 1st SightMary J. Blige Featuring Method Man,1,90,22,13,63,2003,9,r&b
http://www.billboard.com/charts/hot-100/2000-08-05,8/5/2000,94,Shackles (Praise You),Mary Mary,Shackles (Praise You)Mary Mary,1,84,28,20,90,2000,8,
http://www.billboard.com/charts/hot-100/2004-08-21,8/21/2004,91,Welcome Back,Mase,Welcome BackMase,1,83,32,12,52,2004,8,
http://www.billboard.com/charts/hot-100/2004-12-11,12/11/2004,96,"Breathe, Stretch, Shake",Mase Featuring P. Diddy,"Breathe, Stretch, ShakeMase Featuring P. Diddy",1,89,28,16,64,2004,12,
http://www.billboard.com/charts/hot-100/2008-02-09,2/9/2008,48,How Far We've Come,matchbox twenty,How Far We've Comematchbox twenty,1,42,11,22,93,2008,2,pop
http://www.billboard.com/charts/hot-100/2004-03-27,3/27/2004,50,Unwell,matchbox twenty,Unwellmatchbox twenty,1,49,5,54,59,2004,3,pop
http://www.billboard.com/charts/hot-100/2004-02-14,2/14/2004,44,Bright Lights,matchbox twenty,Bright Lightsmatchbox twenty,1,48,23,21,73,2004,2,pop
http://www.billboard.com/charts/hot-100/2003-03-01,3/1/2003,81,Disease,matchbox twenty,Diseasematchbox twenty,1,76,29,20,71,2003,3,pop
http://www.billboard.com/charts/hot-100/2001-08-04,8/4/2001,47,If You're Gone,matchbox twenty,If You're Gonematchbox twenty,1,48,5,42,52,2001,8,pop
http://www.billboard.com/charts/hot-100/2001-01-20,1/20/2001,48,Bent,matchbox twenty,Bentmatchbox twenty,1,38,1,39,60,2001,1,pop
http://www.billboard.com/charts/hot-100/2006-05-06,5/6/2006,85,King Without A Crown,Matisyahu,King Without A CrownMatisyahu,1,71,28,14,98,2006,5,
http://www.billboard.com/charts/hot-100/2009-10-17,10/17/2009,50,Pretty Wings,Maxwell,Pretty WingsMaxwell,1,44,33,23,89,2009,10,r&b
http://www.billboard.com/charts/hot-100/2002-01-19,1/19/2002,60,Lifetime,Maxwell,LifetimeMaxwell,1,60,22,20,72,2002,1,r&b
http://www.billboard.com/charts/hot-100/2005-04-09,4/9/2005,46,Cry Baby/Piece Of My Heart,Melissa Etheridge & Joss Stone,Cry Baby/Piece Of My HeartMelissa Etheridge & Joss Stone,1,32,32,2,32,2005,4,
http://www.billboard.com/charts/hot-100/2008-11-08,11/8/2008,50,Shake It,Metro Station,Shake ItMetro Station,1,47,10,30,88,2008,11,pop
http://www.billboard.com/charts/hot-100/2009-12-19,12/19/2009,60,Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson,Say Hey (I Love You)Michael Franti & Spearhead Featuring Cherine Anderson,1,55,18,20,82,2009,12,pop
http://www.billboard.com/charts/hot-100/2002-03-30,3/30/2002,54,Butterflies,Michael Jackson,ButterfliesMichael Jackson,1,52,14,20,60,2002,3,pop
http://www.billboard.com/charts/hot-100/2002-01-19,1/19/2002,92,You Rock My World,Michael Jackson,You Rock My WorldMichael Jackson,1,91,10,20,34,2002,1,pop
http://www.billboard.com/charts/hot-100/2004-03-06,3/6/2004,94,Breathe,Michelle Branch,BreatheMichelle Branch,1,92,36,18,63,2004,3,pop
http://www.billboard.com/charts/hot-100/2003-10-11,10/11/2003,50,Are You Happy Now?,Michelle Branch,Are You Happy Now?Michelle Branch,1,38,16,20,91,2003,10,pop
http://www.billboard.com/charts/hot-100/2003-01-11,1/11/2003,93,Goodbye To You,Michelle Branch,Goodbye To YouMichelle Branch,1,97,21,20,69,2003,1,pop
http://www.billboard.com/charts/hot-100/2002-08-31,8/31/2002,46,All You Wanted,Michelle Branch,All You WantedMichelle Branch,1,43,6,28,67,2002,8,pop
http://www.billboard.com/charts/hot-100/2002-01-12,1/12/2002,63,Everywhere,Michelle Branch,EverywhereMichelle Branch,1,64,12,20,62,2002,1,pop
http://www.billboard.com/charts/hot-100/2001-03-10,3/10/2001,95,So In Love With Two,Mikaila,So In Love With TwoMikaila,1,87,25,16,96,2001,3,
http://www.billboard.com/charts/hot-100/2005-10-15,10/15/2005,76,Back Then,Mike Jones,Back ThenMike Jones,1,73,22,20,91,2005,10,hip-hop
http://www.billboard.com/charts/hot-100/2009-12-26,12/26/2009,17,Party In The U.S.A.,Miley Cyrus,Party In The U.S.A.Miley Cyrus,1,14,2,18,2,2009,12,pop
http://www.billboard.com/charts/hot-100/2009-09-26,9/26/2009,45,The Climb,Miley Cyrus,The ClimbMiley Cyrus,1,42,4,28,6,2009,9,pop
http://www.billboard.com/charts/hot-100/2009-06-20,6/20/2009,96,Hoedown Throwdown,Miley Cyrus,Hoedown ThrowdownMiley Cyrus,1,88,18,13,56,2009,6,pop
http://www.billboard.com/charts/hot-100/2008-09-27,9/27/2008,94,7 Things,Miley Cyrus,7 ThingsMiley Cyrus,1,83,9,15,84,2008,9,pop
http://www.billboard.com/charts/hot-100/2008-06-21,6/21/2008,48,See You Again,Miley Cyrus,See You AgainMiley Cyrus,1,37,10,27,94,2008,6,pop
http://www.billboard.com/charts/hot-100/2007-10-06,10/6/2007,93,Like This,Mims,Like ThisMims,1,83,32,20,91,2007,10,hip-hop
