url,weekid,week_position,song,artist,songid,instance,previous_week_position,peak_position,weeks_on_chart,debut_position,year,month,genre
http://www.billboard.com/charts/hot-100/2001-01-27,1/27/2001,90,My Baby You,Marc Anthony,My Baby YouMarc Anthony,1,91,70,20,82,2001,1,
http://www.billboard.com/charts/hot-100/2004-02-14,2/14/2004,93,My Baby,Bow Wow Featuring Jagged Edge,My BabyBow Wow Featuring Jagged Edge,1,82,42,11,71,2004,2,
http://www.billboard.com/charts/hot-100/2001-08-18,8/18/2001,99,My Baby,Lil' Romeo,My BabyLil' Romeo,1,85,3,14,33,2001,8,
http://www.billboard.com/charts/hot-100/2004-07-17,7/17/2004,95,My Band,D12,My BandD12,1,85,6,18,72,2004,7,
http://www.billboard.com/charts/hot-100/2005-03-05,3/5/2005,41,My Boo,Usher And Alicia Keys,My BooUsher And Alicia Keys,1,34,1,26,29,2005,3,
http://www.billboard.com/charts/hot-100/2006-07-22,7/22/2006,79,My Destiny,Katharine McPhee,My DestinyKatharine McPhee,1,60,60,2,60,2006,7,
http://www.billboard.com/charts/hot-100/2008-02-09,2/9/2008,100,My Drink N' My 2 Step,Cassidy Featuring Swizz Beatz,My Drink N' My 2 StepCassidy Featuring Swizz Beatz,1,86,33,20,95,2008,2,
http://www.billboard.com/charts/hot-100/2001-04-21,4/21/2001,95,My Everything,98 Degrees,My Everything98 Degrees,1,98,34,20,62,2001,4,
http://www.billboard.com/charts/hot-100/2001-03-17,3/17/2001,79,My First Love,Avant Featuring KeKe Wyatt,My First LoveAvant Featuring KeKe Wyatt,1,81,26,20,70,2001,3,
http://www.billboard.com/charts/hot-100/2002-10-12,10/12/2002,90,My Friends Over You,New Found Glory,My Friends Over YouNew Found Glory,1,89,85,6,98,2002,10,
http://www.billboard.com/charts/hot-100/2003-09-13,9/13/2003,50,My Front Porch Looking In,Lonestar,My Front Porch Looking InLonestar,1,46,23,22,74,2003,9,
http://www.billboard.com/charts/hot-100/2005-07-02,7/2/2005,75,My Give A Damn's Busted,Jo Dee Messina,My Give A Damn's BustedJo Dee Messina,1,73,63,20,91,2005,7,
http://www.billboard.com/charts/hot-100/2005-01-15,1/15/2005,44,My Happy Ending,Avril Lavigne,My Happy EndingAvril Lavigne,1,47,9,25,70,2005,1,
http://www.billboard.com/charts/hot-100/2002-08-17,8/17/2002,92,My Heart Is Lost To You,Brooks & Dunn,My Heart Is Lost To YouBrooks & Dunn,1,77,48,13,75,2002,8,
http://www.billboard.com/charts/hot-100/2006-04-01,4/1/2006,98,My Hood,Young Jeezy,My HoodYoung Jeezy,3,92,77,10,99,2006,4,
http://www.billboard.com/charts/hot-100/2006-04-22,4/22/2006,44,My Humps,The Black Eyed Peas,My HumpsThe Black Eyed Peas,1,37,3,36,85,2006,4,
http://www.billboard.com/charts/hot-100/2004-08-14,8/14/2004,46,My Immortal,Evanescence,My ImmortalEvanescence,1,39,7,32,70,2004,8,
http://www.billboard.com/charts/hot-100/2009-12-26,12/26/2009,51,My Life Would Suck Without You,Glee Cast,My Life Would Suck Without YouGlee Cast,1,,51,1,51,2009,12,
http://www.billboard.com/charts/hot-100/2009-07-11,7/11/2009,44,My Life Would Suck Without You,Kelly Clarkson,My Life Would Suck Without YouKelly Clarkson,1,48,1,24,97,2009,7,
http://www.billboard.com/charts/hot-100/2009-01-03,1/3/2009,74,My Life,The Game Featuring Lil Wayne,My LifeThe Game Featuring Lil Wayne,1,64,21,20,21,2009,1,
http://www.billboard.com/charts/hot-100/2002-06-29,6/29/2002,61,My List,Toby Keith,My ListToby Keith,1,55,26,20,77,2002,6,
http://www.billboard.com/charts/hot-100/2007-02-10,2/10/2007,85,My Little Girl,Tim McGraw,My Little GirlTim McGraw,1,78,35,20,99,2007,2,
http://www.billboard.com/charts/hot-100/2000-12-30,12/30/2000,91,My Love Goes On And On,Chris Cagle,My Love Goes On And OnChris Cagle,1,83,76,11,99,2000,12,
http://www.billboard.com/charts/hot-100/2003-11-08,11/8/2003,57,My Love Is Like... Wo,Mya,My Love Is Like... WoMya,1,40,13,20,81,2003,11,
http://www.billboard.com/charts/hot-100/2007-04-07,4/7/2007,50,My Love,Justin Timberlake Featuring T.I.,My LoveJustin Timberlake Featuring T.I.,1,43,1,29,89,2007,4,
http://www.billboard.com/charts/hot-100/2009-04-25,4/25/2009,97,My Love,The-Dream Featuring Mariah Carey,My LoveThe-Dream Featuring Mariah Carey,2,100,97,4,82,2009,4,
