weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart
3/15/2008,95,Love Don't Live Here,Lady Antebellum,Love Don't Live HereLady Antebellum,1,,95,1
7/18/2009,46,Love Drunk,Boys Like Girls,Love DrunkBoys Like Girls,1,,46,1
5/10/2008,79,Love In This Club Part II,Usher Featuring Beyonce & Lil Wayne,Love In This Club Part IIUsher Featuring Beyonce & Lil Wayne,1,,79,1
3/1/2008,83,Love In This Club,Usher Featuring Young Jeezy,Love In This ClubUsher Featuring Young Jeezy,1,,83,1
3/8/2008,97,Love Is A Beautiful Thing,Phil Vassar,Love Is A Beautiful ThingPhil Vassar,1,,97,1
1/8/2000,94,Love Is Blind,Eve Featuring Faith Evans,Love Is BlindEve Featuring Faith Evans,1,,94,1
2/23/2008,77,Love Is Free,Sheryl Crow,Love Is FreeSheryl Crow,1,,77,1
6/14/2008,98,Love Is Gone,David Guetta & Chris Willis,Love Is GoneDavid Guetta & Chris Willis,1,,98,1
3/14/2009,84,Love Is On Its Way,Jonas Brothers,Love Is On Its WayJonas Brothers,1,,84,1
11/3/2007,94,Love Like This,Natasha Bedingfield Featuring Sean Kingston,Love Like ThisNatasha Bedingfield Featuring Sean Kingston,1,,94,1
12/30/2006,88,Love Like Winter,AFI,Love Like WinterAFI,1,,88,1
10/4/2008,3,Love Lockdown,Kanye West,Love LockdownKanye West,1,,3,1
8/11/2007,83,Love Me If You Can,Toby Keith,Love Me If You CanToby Keith,1,,83,1
10/28/2006,81,Love Me Or Hate Me (F**k You!!!!),Lady Sovereign,Love Me Or Hate Me (F**k You!!!!)Lady Sovereign,1,,81,1
3/20/2004,97,Love Me Right (Oh Sheila),Angel City Featuring Lara McAllen,Love Me Right (Oh Sheila)Angel City Featuring Lara McAllen,1,,97,1
11/14/2009,37,Love Me,Justin Bieber,Love MeJustin Bieber,1,,37,1
9/15/2001,76,Love Of A Woman,Travis Tritt,Love Of A WomanTravis Tritt,1,,76,1
9/7/2002,94,Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common,Love Of My Life (An Ode To Hip Hop)Erykah Badu Featuring Common,1,,94,1
9/15/2001,74,Love Of My Life,Brian McKnight,Love Of My LifeBrian McKnight,1,,74,1
6/21/2008,76,Love Remains The Same,Gavin Rossdale,Love Remains The SameGavin Rossdale,1,,76,1
11/1/2008,87,Love Remembers,Craig Morgan,Love RemembersCraig Morgan,1,,87,1
5/13/2000,92,Love Sets You Free,Kelly Price & Friends,Love Sets You FreeKelly Price & Friends,1,,92,1
3/28/2009,86,Love Sex Magic,Ciara Featuring Justin Timberlake,Love Sex MagicCiara Featuring Justin Timberlake,1,,86,1
5/1/2004,72,Love Song,311,Love Song311,1,,72,1
11/17/2007,100,Love Song,Sara Bareilles,Love SongSara Bareilles,1,,100,1
9/27/2008,16,Love Story,Taylor Swift,Love StoryTaylor Swift,1,,16,1
4/14/2007,92,Love Today,MIKA,Love TodayMIKA,1,,92,1
4/11/2009,59,Love Who You Love,Rascal Flatts,Love Who You LoveRascal Flatts,1,,59,1
11/1/2003,93,Love You More,Ginuwine,Love You MoreGinuwine,1,,93,1
4/5/2003,72,Love You Out Loud,Rascal Flatts,Love You Out LoudRascal Flatts,1,,72,1
10/28/2006,98,Love You,Jack Ingram,Love YouJack Ingram,1,,98,1
7/11/2009,90,Love Your Love The Most,Eric Church,Love Your Love The MostEric Church,1,,90,1
9/27/2008,84,Lovebug,Jonas Brothers,LovebugJonas Brothers,1,,84,1
3/21/2009,96,LoveGame,Lady Gaga,LoveGameLady Gaga,1,,96,1
2/4/2006,82,Love,Keyshia Cole,LoveKeyshia Cole,1,,82,1
2/17/2001,77,Love,Musiq Soulchild,LoveMusiq Soulchild,1,,77,1
6/23/2001,79,Loverboy,Mariah Carey Featuring Cameo,LoverboyMariah Carey Featuring Cameo,1,,79,1
11/27/2004,36,Lovers And Friends,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,Lovers And FriendsLil Jon & The East Side Boyz Featuring Usher & Ludacris,1,,36,1
2/28/2004,93,Love's Divine,Seal,Love's DivineSeal,1,,93,1
2/5/2000,79,Love's The Only House,Martina McBride,Love's The Only HouseMartina McBride,1,,79,1
7/21/2007,85,LoveStoned,Justin Timberlake,LoveStonedJustin Timberlake,1,,85,1
8/23/2003,97,Lovin' All Night,Patty Loveless,Lovin' All NightPatty Loveless,1,,97,1
11/10/2007,91,Low,Flo Rida Featuring T-Pain,LowFlo Rida Featuring T-Pain,1,,91,1
9/20/2003,74,Low,Kelly Clarkson,LowKelly Clarkson,1,,74,1
3/17/2001,80,Lucky 4 You (Tonight I'm Just Me),SHeDAISY,Lucky 4 You (Tonight I'm Just Me)SHeDAISY,1,,80,1
5/5/2007,88,Lucky Man,Montgomery Gentry,Lucky ManMontgomery Gentry,1,,88,1
8/12/2000,61,Lucky,Britney Spears,LuckyBritney Spears,1,,61,1
5/31/2008,82,Lucky,Jason Mraz & Colbie Caillat,LuckyJason Mraz & Colbie Caillat,1,,82,1
8/24/2002,93,Luv U Better,LL Cool J,Luv U BetterLL Cool J,1,,93,1
11/5/2005,80,Luxurious,Gwen Stefani,LuxuriousGwen Stefani,1,,80,1
4/10/2004,78,Lying From You,Linkin Park,Lying From YouLinkin Park,1,,78,1
2/15/2003,96,"Ma, I Don't Love Her",Clipse Featuring Faith Evans,"Ma, I Don't Love HerClipse Featuring Faith Evans",1,,96,1
5/5/2001,68,Mad Season,matchbox twenty,Mad Seasonmatchbox twenty,1,,68,1
6/6/2009,19,Mad World,Adam Lambert,Mad WorldAdam Lambert,1,,19,1
12/21/2002,58,Made You Look,Nas,Made You LookNas,1,,58,1
12/20/2008,97,Mad,Ne-Yo,MadNe-Yo,1,,97,1
4/26/2003,75,Magic Stick,Lil' Kim Featuring 50 Cent,Magic StickLil' Kim Featuring 50 Cent,1,,75,1
6/28/2008,88,Magic,Robin Thicke,MagicRobin Thicke,1,,88,1
8/22/2009,61,Magic,Selena Gomez,MagicSelena Gomez,1,,61,1
3/21/2009,88,Magnificent,Rick Ross Featuring John Legend,MagnificentRick Ross Featuring John Legend,1,,88,1
3/21/2009,79,Magnificent,U2,MagnificentU2,1,,79,1
6/4/2005,98,Make Her Feel Good,Teairra Mari,Make Her Feel GoodTeairra Mari,1,,98,1
6/27/2009,51,Make Her Say,Kid Cudi Featuring Kanye West & Common,Make Her SayKid Cudi Featuring Kanye West & Common,1,,51,1
11/9/2002,93,Make It Clap,Busta Rhymes Featuring Spliff Star,Make It ClapBusta Rhymes Featuring Spliff Star,1,,93,1
11/18/2006,55,Make It Rain,Fat Joe Featuring Lil Wayne,Make It RainFat Joe Featuring Lil Wayne,1,,55,1
6/7/2003,99,Make Me A Song,Kiley Dean,Make Me A SongKiley Dean,1,,99,1
6/9/2007,96,Make Me Better,Fabolous Featuring Ne-Yo,Make Me BetterFabolous Featuring Ne-Yo,1,,96,1
7/14/2007,92,Make Some Noise,Hannah Montana,Make Some NoiseHannah Montana,1,,92,1
5/6/2006,78,MakeDamnSure,Taking Back Sunday,MakeDamnSureTaking Back Sunday,1,,78,1
4/21/2007,84,Makes Me Wonder,Maroon 5,Makes Me WonderMaroon 5,1,,84,1
3/23/2002,74,Makin' Good Love,Avant,Makin' Good LoveAvant,1,,74,1
4/23/2005,90,Making Memories Of Us,Keith Urban,Making Memories Of UsKeith Urban,1,,90,1
12/23/2000,59,Mamacita,Public Announcement,MamacitaPublic Announcement,1,,59,1
10/31/2009,77,Mama's Song,Carrie Underwood,Mama's SongCarrie Underwood,1,,77,1
8/9/2008,99,Mamma Mia,Meryl Streep,Mamma MiaMeryl Streep,1,,99,1
1/4/2003,78,Man To Man,Gary Allan,Man To ManGary Allan,1,,78,1
9/30/2006,62,Maneater,Nelly Furtado,ManeaterNelly Furtado,1,,62,1
4/26/2008,80,Many Rivers To Cross,Annie Lennox,Many Rivers To CrossAnnie Lennox,1,,80,1
3/13/2004,98,Maps,Yeah Yeah Yeahs,MapsYeah Yeah Yeahs,1,,98,1
8/23/2008,66,Marco Polo,Bow Wow Featuring Soulja Boy Tell'em,Marco PoloBow Wow Featuring Soulja Boy Tell'em,1,,66,1
2/12/2000,15,Maria Maria,Santana Featuring The Product G&B,Maria MariaSantana Featuring The Product G&B,1,,15,1
3/21/2009,99,Marry For Money,Trace Adkins,Marry For MoneyTrace Adkins,1,,99,1
5/9/2009,92,Maybach Music 2,"Rick Ross Featuring Kanye West, T-Pain & Lil' Wayne","Maybach Music 2Rick Ross Featuring Kanye West, T-Pain & Lil' Wayne",1,,92,1
3/17/2001,71,Maybe I Deserve,Tank,Maybe I DeserveTank,1,,71,1
10/17/2009,88,Maybe This Time,Glee Cast Featuring Kristin Chenoweth,Maybe This TimeGlee Cast Featuring Kristin Chenoweth,1,,88,1
2/21/2004,74,Mayberry,Rascal Flatts,MayberryRascal Flatts,1,,74,1
4/29/2006,94,Me & U,Cassie,Me & UCassie,1,,94,1
10/25/2003,50,Me Against The Music,Britney Spears Featuring Madonna,Me Against The MusicBritney Spears Featuring Madonna,1,,50,1
5/5/2007,98,Me And God,Josh Turner,Me And GodJosh Turner,1,,98,1
5/27/2006,93,Me And My Gang,Rascal Flatts,Me And My GangRascal Flatts,1,,93,1
9/29/2007,99,Me Enamora,Juanes,Me EnamoraJuanes,1,,99,1
8/18/2007,28,Me Love,Sean Kingston,Me LoveSean Kingston,1,,28,1
5/13/2000,87,Me Neither,Brad Paisley,Me NeitherBrad Paisley,1,,87,1
11/15/2003,78,"Me, Myself And I",Beyonce,"Me, Myself And IBeyonce",1,,78,1
4/3/2004,75,Meant To Live,Switchfoot,Meant To LiveSwitchfoot,1,,75,1
11/18/2000,87,Meanwhile Back At The Ranch,The Clark Family Experience,Meanwhile Back At The RanchThe Clark Family Experience,1,,87,1
10/3/2009,75,Meet Me Halfway,The Black Eyed Peas,Meet Me HalfwayThe Black Eyed Peas,1,,75,1
1/3/2004,75,Megalomaniac,Incubus,MegalomaniacIncubus,1,,75,1
5/10/2008,87,Mercy,Duffy,MercyDuffy,1,,87,1
12/28/2002,67,Mesmerize,Ja Rule Featuring Ashanti,MesmerizeJa Rule Featuring Ashanti,1,,67,1
6/30/2001,99,Midwest Swing,St. Lunatics,Midwest SwingSt. Lunatics,1,,99,1
6/24/2006,77,"Mighty ""O""",OutKast,"Mighty ""O""OutKast",1,,77,1
5/3/2008,92,Migrate,Mariah Carey Featuring T-Pain,MigrateMariah Carey Featuring T-Pain,1,,92,1
10/4/2003,95,Milkshake,Kelis,MilkshakeKelis,1,,95,1
9/19/2009,100,Million Dollar Bill,Whitney Houston,Million Dollar BillWhitney Houston,1,,100,1
4/1/2000,87,Mirror Mirror,M2M,Mirror MirrorM2M,1,,87,1
7/21/2007,99,Misery Business,Paramore,Misery BusinessParamore,1,,99,1
7/14/2001,98,Miss California,Dante Thomas Featuring Pras,Miss CaliforniaDante Thomas Featuring Pras,1,,98,1
5/17/2003,61,Miss Independent,Kelly Clarkson,Miss IndependentKelly Clarkson,1,,61,1
9/6/2008,98,Miss Independent,Ne-Yo,Miss IndependentNe-Yo,1,,98,1
10/29/2005,95,Miss Me Baby,Chris Cagle,Miss Me BabyChris Cagle,1,,95,1
5/13/2006,97,Miss Murder,AFI,Miss MurderAFI,1,,97,1
11/30/2002,55,Miss You,Aaliyah,Miss YouAaliyah,1,,55,1
2/10/2001,92,Missing You,Case,Missing YouCase,1,,92,1
6/11/2005,85,Mississippi Girl,Faith Hill,Mississippi GirlFaith Hill,1,,85,1
12/8/2007,86,Mistletoe,Colbie Caillat,MistletoeColbie Caillat,1,,86,1
4/30/2005,86,MJB Da MVP,Mary J. Blige Featuring The Game & 50 Cent,MJB Da MVPMary J. Blige Featuring The Game & 50 Cent,1,,86,1
1/1/2005,74,Mockingbird,Eminem,MockingbirdEminem,1,,74,1
3/30/2002,73,Modern Day Bonnie And Clyde,Travis Tritt,Modern Day Bonnie And ClydeTravis Tritt,1,,73,1
4/7/2007,97,Moments,Emerson Drive,MomentsEmerson Drive,1,,97,1
12/4/2004,75,Monday Morning Church,Alan Jackson,Monday Morning ChurchAlan Jackson,1,,75,1
9/30/2006,100,Money In The Bank,Lil Scrappy Featuring Young Buck,Money In The BankLil Scrappy Featuring Young Buck,1,,100,1
9/15/2007,90,Money In The Bank,Swizz Beatz,Money In The BankSwizz Beatz,1,,90,1
8/26/2006,96,Money Maker,Ludacris Featuring Pharrell,Money MakerLudacris Featuring Pharrell,1,,96,1
10/24/2009,100,Money To Blow,Birdman Featuring Lil Wayne & Drake,Money To BlowBirdman Featuring Lil Wayne & Drake,1,,100,1
5/20/2000,95,Monica,Before Dark,MonicaBefore Dark,1,,95,1
11/22/2003,78,More & More,Joe,More & MoreJoe,1,,78,1
1/31/2009,99,More Like Her,Miranda Lambert,More Like HerMiranda Lambert,1,,99,1
9/15/2007,73,More Than A Memory,Garth Brooks,More Than A MemoryGarth Brooks,1,,73,1
2/2/2002,71,More Than A Woman,Aaliyah,More Than A WomanAaliyah,1,,71,1
5/26/2001,68,More Than That,Backstreet Boys,More Than ThatBackstreet Boys,1,,68,1
9/17/2005,94,More Than Words,Frankie J,More Than WordsFrankie J,1,,94,1
4/29/2000,84,More,Trace Adkins,MoreTrace Adkins,1,,84,1
12/12/2009,76,Morning After Dark,Timbaland Featuring Nelly Furtado & SoShy,Morning After DarkTimbaland Featuring Nelly Furtado & SoShy,1,,76,1
9/9/2006,95,Morris Brown,OutKast Featuring Scar & Sleepy Brown,Morris BrownOutKast Featuring Scar & Sleepy Brown,1,,95,1
8/12/2000,85,Most Girls,P!nk,Most GirlsP!nk,1,,85,1
9/9/2006,92,Mountains,Lonestar,MountainsLonestar,1,,92,1
2/7/2009,96,Move (If You 'W'anna),Mims,Move (If You 'W'anna)Mims,1,,96,1
2/11/2006,100,Move Along,The All-American Rejects,Move AlongThe All-American Rejects,1,,100,1
6/8/2002,88,Move B***h,Ludacris Featuring Mystikal & Infamous 2.0,Move B***hLudacris Featuring Mystikal & Infamous 2.0,1,,88,1
5/24/2008,56,Move Shake Drop,DJ Laz Featuring Flo Rida & Casely,Move Shake DropDJ Laz Featuring Flo Rida & Casely,1,,56,1
5/1/2004,73,Move Ya Body,Nina Sky Featuring Jabba,Move Ya BodyNina Sky Featuring Jabba,1,,73,1
3/17/2007,61,Movin' On,Elliott Yamin,Movin' OnElliott Yamin,1,,61,1
6/14/2008,72,Moving Mountains,Usher,Moving MountainsUsher,1,,72,1
2/12/2005,40,Mr. Brightside,The Killers,Mr. BrightsideThe Killers,1,,40,1
6/21/2008,92,Mr. Carter,Lil Wayne Featuring Jay-Z,Mr. CarterLil Wayne Featuring Jay-Z,1,,92,1
1/27/2007,92,Mr. Jones,Mike Jones,Mr. JonesMike Jones,1,,92,1
9/18/2004,71,Mr. Mom,Lonestar,Mr. MomLonestar,1,,71,1
3/18/2000,84,Mr. Too Damn Good,Gerald Levert,Mr. Too Damn GoodGerald Levert,1,,84,1
9/6/2008,86,Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,Mrs. OfficerLil Wayne Featuring Bobby Valentino & Kidd Kidd,1,,86,1
3/24/2001,84,Mrs. Steven Rudy,Mark McGuinn,Mrs. Steven RudyMark McGuinn,1,,84,1
11/11/2000,55,Ms. Jackson,OutKast,Ms. JacksonOutKast,1,,55,1
2/4/2006,87,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New BootyBubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,1,,87,1
12/4/2004,70,Mud On The Tires,Brad Paisley,Mud On The TiresBrad Paisley,1,,70,1
11/24/2007,84,Music Is My Hot Hot Sex,CSS,Music Is My Hot Hot SexCSS,1,,84,1
6/2/2001,60,Music,Erick Sermon Featuring Marvin Gaye,MusicErick Sermon Featuring Marvin Gaye,1,,60,1
8/12/2000,41,Music,Madonna,MusicMadonna,1,,41,1
10/22/2005,100,Must Be Doin' Somethin' Right,Billy Currington,Must Be Doin' Somethin' RightBilly Currington,1,,100,1
5/28/2005,99,Must Be Nice,Lyfe Jennings,Must Be NiceLyfe Jennings,1,,99,1
9/13/2008,67,My Apocalypse,Metallica,My ApocalypseMetallica,1,,67,1
9/16/2000,82,My Baby You,Marc Anthony,My Baby YouMarc Anthony,1,,82,1
12/6/2003,71,My Baby,Bow Wow Featuring Jagged Edge,My BabyBow Wow Featuring Jagged Edge,1,,71,1
5/19/2001,33,My Baby,Lil' Romeo,My BabyLil' Romeo,1,,33,1
3/20/2004,72,My Band,D12,My BandD12,1,,72,1
9/11/2004,29,My Boo,Usher And Alicia Keys,My BooUsher And Alicia Keys,1,,29,1
7/15/2006,60,My Destiny,Katharine McPhee,My DestinyKatharine McPhee,1,,60,1
9/29/2007,95,My Drink N' My 2 Step,Cassidy Featuring Swizz Beatz,My Drink N' My 2 StepCassidy Featuring Swizz Beatz,1,,95,1
12/9/2000,62,My Everything,98 Degrees,My Everything98 Degrees,1,,62,1
11/4/2000,70,My First Love,Avant Featuring KeKe Wyatt,My First LoveAvant Featuring KeKe Wyatt,1,,70,1
9/7/2002,98,My Friends Over You,New Found Glory,My Friends Over YouNew Found Glory,1,,98,1
4/19/2003,74,My Front Porch Looking In,Lonestar,My Front Porch Looking InLonestar,1,,74,1
2/19/2005,91,My Give A Damn's Busted,Jo Dee Messina,My Give A Damn's BustedJo Dee Messina,1,,91,1
7/31/2004,70,My Happy Ending,Avril Lavigne,My Happy EndingAvril Lavigne,1,,70,1
5/25/2002,75,My Heart Is Lost To You,Brooks & Dunn,My Heart Is Lost To YouBrooks & Dunn,1,,75,1
1/7/2006,99,My Hood,Young Jeezy,My HoodYoung Jeezy,1,,99,1
8/20/2005,85,My Humps,The Black Eyed Peas,My HumpsThe Black Eyed Peas,1,,85,1
1/10/2004,70,My Immortal,Evanescence,My ImmortalEvanescence,1,,70,1
12/26/2009,51,My Life Would Suck Without You,Glee Cast,My Life Would Suck Without YouGlee Cast,1,,51,1
1/31/2009,97,My Life Would Suck Without You,Kelly Clarkson,My Life Would Suck Without YouKelly Clarkson,1,,97,1
8/23/2008,21,My Life,The Game Featuring Lil Wayne,My LifeThe Game Featuring Lil Wayne,1,,21,1
2/16/2002,77,My List,Toby Keith,My ListToby Keith,1,,77,1
9/30/2006,99,My Little Girl,Tim McGraw,My Little GirlTim McGraw,1,,99,1
10/21/2000,99,My Love Goes On And On,Chris Cagle,My Love Goes On And OnChris Cagle,1,,99,1
6/28/2003,81,My Love Is Like... Wo,Mya,My Love Is Like... WoMya,1,,81,1
9/23/2006,89,My Love,Justin Timberlake Featuring T.I.,My LoveJustin Timberlake Featuring T.I.,1,,89,1
3/21/2009,82,My Love,The-Dream Featuring Mariah Carey,My LoveThe-Dream Featuring Mariah Carey,1,,82,1
5/25/2002,83,"My Neck, My Back",Khia Featuring DSD,"My Neck, My BackKhia Featuring DSD",1,,83,1
10/21/2000,73,My Next Thirty Years,Tim McGraw,My Next Thirty YearsTim McGraw,1,,73,1
12/3/2005,97,My Old Friend,Tim McGraw,My Old FriendTim McGraw,1,,97,1
7/24/2004,69,My Place,Nelly Featuring Jaheim,My PlaceNelly Featuring Jaheim,1,,69,1
11/22/2008,92,My President,Young Jeezy Featuring Nas,My PresidentYoung Jeezy Featuring Nas,1,,92,1
8/4/2001,98,My Projects,Coo Coo Cal,My ProjectsCoo Coo Cal,1,,98,1
10/27/2001,50,My Sacrifice,Creed,My SacrificeCreed,1,,50,1
7/9/2005,96,My Sister,Reba McEntire,My SisterReba McEntire,1,,96,1
2/2/2002,94,My Sweet Lord,George Harrison,My Sweet LordGeorge Harrison,1,,94,1
9/28/2002,69,My Town,Montgomery Gentry,My TownMontgomery Gentry,1,,69,1
4/28/2001,81,My Way,Limp Bizkit,My WayLimp Bizkit,1,,81,1
9/23/2006,99,My Wish,Rascal Flatts,My WishRascal Flatts,1,,99,1
1/27/2007,94,"My, Oh My",The Wreckers,"My, Oh MyThe Wreckers",1,,94,1
2/5/2005,69,N Dey Say,Nelly,N Dey SayNelly,1,,69,1
8/9/2003,86,Na Na Na,112 Featuring Super Cat,Na Na Na112 Featuring Super Cat,1,,86,1
8/27/2005,90,Nada Es Para Siempre,Luis Fonsi,Nada Es Para SiempreLuis Fonsi,1,,90,1
9/27/2003,95,Naggin,Ying Yang Twins,NagginYing Yang Twins,1,,95,1
8/27/2005,89,Naked,Marques Houston,NakedMarques Houston,1,,89,1
9/18/2004,95,Nasty Girl,Nitty,Nasty GirlNitty,1,,95,1
12/17/2005,92,Nasty Girl,"The Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm","Nasty GirlThe Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm",1,,92,1
3/27/2004,68,Naughty Girl,Beyonce,Naughty GirlBeyonce,1,,68,1
8/12/2006,91,Need A Boss,Shareefa Featuring Ludacris,Need A BossShareefa Featuring Ludacris,1,,91,1
8/2/2008,73,Need U Bad,Jazmine Sullivan,Need U BadJazmine Sullivan,1,,73,1
8/29/2009,85,Need You Now,Lady Antebellum,Need You NowLady Antebellum,1,,85,1
12/20/2003,99,Neva Eva,Trillville,Neva EvaTrillville,1,,99,1
8/23/2003,98,Never (Past Tense),The Roc Project Featuring Tina Arena,Never (Past Tense)The Roc Project Featuring Tina Arena,1,,98,1
5/12/2007,8,Never Again,Kelly Clarkson,Never AgainKelly Clarkson,1,,8,1
3/7/2009,96,Never Ever,Ciara Featuring Young Jeezy,Never EverCiara Featuring Young Jeezy,1,,96,1
12/6/2008,68,Never Gonna Be Alone,Nickelback,Never Gonna Be AloneNickelback,1,,68,1
3/3/2001,61,Never Had A Dream Come True,S Club 7,Never Had A Dream Come TrueS Club 7,1,,61,1
5/31/2003,61,"Never Leave You - Uh Ooh, Uh Oooh!",Lumidee,"Never Leave You - Uh Ooh, Uh Oooh!Lumidee",1,,61,1
1/22/2000,65,Never Let You Go,Third Eye Blind,Never Let You GoThird Eye Blind,1,,65,1
6/27/2009,90,Never Say Never,The Fray,Never Say NeverThe Fray,1,,90,1
4/5/2003,99,Never Scared,Bone Crusher Featuring Killer Mike & T.I.,Never ScaredBone Crusher Featuring Killer Mike & T.I.,1,,99,1
12/29/2001,81,Never Too Far/Hero Medley,Mariah Carey,Never Too Far/Hero MedleyMariah Carey,1,,81,1
7/28/2007,100,Never Too Late,Three Days Grace,Never Too LateThree Days Grace,1,,100,1
7/7/2007,65,Never Wanted Nothing More,Kenny Chesney,Never Wanted Nothing MoreKenny Chesney,1,,65,1
6/28/2008,95,Never Would Have Made It,Marvin Sapp,Never Would Have Made ItMarvin Sapp,1,,95,1
2/16/2002,94,Never,Amanda Perez,NeverAmanda Perez,1,,94,1
12/22/2007,95,Never,Jaheim,NeverJaheim,1,,95,1
7/3/2004,95,New Day,Patti LaBelle,New DayPatti LaBelle,1,,95,1
6/6/2009,6,New Divide,Linkin Park,New DivideLinkin Park,1,,6,1
2/16/2008,9,New Soul,Yael Naim,New SoulYael Naim,1,,9,1
11/20/2004,72,New York,Ja Rule Featuring Fat Joe & Jadakiss,New YorkJa Rule Featuring Fat Joe & Jadakiss,1,,72,1
3/21/2009,87,Next To You,Mike Jones,Next To YouMike Jones,1,,87,1
9/30/2006,98,Ni Una Sola Palabra,Paulina Rubio,Ni Una Sola PalabraPaulina Rubio,1,,98,1
2/16/2008,79,Nine In The Afternoon,Panic! At The Disco,Nine In The AfternoonPanic! At The Disco,1,,79,1
10/31/2009,65,No Air,Glee Cast,No AirGlee Cast,1,,65,1
1/19/2008,95,No Air,Jordin Sparks Duet With Chris Brown,No AirJordin Sparks Duet With Chris Brown,1,,95,1
1/31/2004,76,No Better Love,Young Gunz Featuring Rell,No Better LoveYoung Gunz Featuring Rell,1,,76,1
6/6/2009,72,No Boundaries,Adam Lambert,No BoundariesAdam Lambert,1,,72,1
6/6/2009,11,No Boundaries,Kris Allen,No BoundariesKris Allen,1,,11,1
2/12/2000,86,No Leaf Clover,Metallica,No Leaf CloverMetallica,1,,86,1
1/11/2003,75,No Letting Go,Wayne Wonder,No Letting GoWayne Wonder,1,,75,1
3/16/2002,97,No Matta What (Party All Night),Toya,No Matta What (Party All Night)Toya,1,,97,1
7/15/2000,80,No Matter What They Say,Lil' Kim,No Matter What They SayLil' Kim,1,,80,1
5/24/2008,72,No Matter What,T.I.,No Matter WhatT.I.,1,,72,1
6/10/2000,77,No Me Dejes De Querer,Gloria Estefan,No Me Dejes De QuererGloria Estefan,1,,77,1
9/20/2008,98,No Me Doy Por Vencido,Luis Fonsi,No Me Doy Por VencidoLuis Fonsi,1,,98,1
3/18/2000,100,No Mercy,Ty Herndon,No MercyTy Herndon,1,,100,1
11/4/2000,96,No More (Baby I'ma Do Right),3LW,No More (Baby I'ma Do Right)3LW,1,,96,1
12/15/2001,74,No More Drama,Mary J. Blige,No More DramaMary J. Blige,1,,74,1
7/1/2000,76,No More,Ruff Endz,No MoreRuff Endz,1,,76,1
12/28/2002,78,No One Knows,Queens Of The Stone Age,No One KnowsQueens Of The Stone Age,1,,78,1
9/22/2007,71,No One,Alicia Keys,No OneAlicia Keys,1,,71,1
4/12/2003,96,No One's Gonna Change You,Reina,No One's Gonna Change YouReina,1,,96,1
7/17/2004,88,No Problem,Lil Scrappy,No ProblemLil Scrappy,1,,88,1
6/28/2003,78,"No Shoes, No Shirt, No Problems",Kenny Chesney,"No Shoes, No Shirt, No ProblemsKenny Chesney",1,,78,1
6/1/2002,65,No Such Thing,John Mayer,No Such ThingJohn Mayer,1,,65,1
5/23/2009,15,No Surprise,Daughtry,No SurpriseDaughtry,1,,15,1
1/28/2006,100,Nobody But Me,Blake Shelton,Nobody But MeBlake Shelton,1,,100,1
1/27/2001,66,Nobody Wants To Be Lonely,Ricky Martin Duet With Christina Aguilera,Nobody Wants To Be LonelyRicky Martin Duet With Christina Aguilera,1,,66,1
12/11/2004,61,Nobody's Home,Avril Lavigne,Nobody's HomeAvril Lavigne,1,,61,1
6/23/2007,28,Nobody's Perfect,Hannah Montana,Nobody's PerfectHannah Montana,1,,28,1
10/31/2009,76,Nobody,Wonder Girls,NobodyWonder Girls,1,,76,1
8/28/2004,67,Nolia Clap,"Juvenile, Wacko & Skip","Nolia ClapJuvenile, Wacko & Skip",1,,67,1
5/11/2002,72,Not A Day Goes By,Lonestar,Not A Day Goes ByLonestar,1,,72,1
2/24/2007,78,Not Fade Away,Sheryl Crow,Not Fade AwaySheryl Crow,1,,78,1
4/25/2009,90,Not Meant To Be,Theory Of A Deadman,Not Meant To BeTheory Of A Deadman,1,,90,1
5/6/2006,28,Not Ready To Make Nice,Dixie Chicks,Not Ready To Make NiceDixie Chicks,1,,28,1
12/13/2003,67,Not Today,Mary J. Blige Featuring Eve,Not TodayMary J. Blige Featuring Eve,1,,67,1
6/6/2009,44,Note To God,Charice,Note To GodCharice,1,,44,1
10/13/2007,97,Nothin' Better To Do,LeAnn Rimes,Nothin' Better To DoLeAnn Rimes,1,,97,1
11/13/2004,75,Nothin 'Bout Love Makes Sense,LeAnn Rimes,Nothin 'Bout Love Makes SenseLeAnn Rimes,1,,75,1
2/28/2009,97,Nothin' To Die For,Tim McGraw,Nothin' To Die ForTim McGraw,1,,97,1
1/22/2005,70,Nothin' To Lose,Josh Gracin,Nothin' To LoseJosh Gracin,1,,70,1
5/13/2000,49,Nothing As It Seems,Pearl Jam,Nothing As It SeemsPearl Jam,1,,49,1
1/5/2002,75,Nothing In This World,KeKe Wyatt Featuring Avant,Nothing In This WorldKeKe Wyatt Featuring Avant,1,,75,1
10/7/2006,93,Nothing Left To Lose,Mat Kearney,Nothing Left To LoseMat Kearney,1,,93,1
