weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart
8/17/2002,67,Aerials,System Of A Down,AerialsSystem Of A Down,1,,67,1
1/13/2001,98,After Party,Koffee Brown,After PartyKoffee Brown,1,,98,1
5/20/2006,80,Again And Again,Jewel,Again And AgainJewel,1,,80,1
3/26/2005,90,Again,Faith Evans,AgainFaith Evans,1,,90,1
11/18/2000,72,Again,Lenny Kravitz,AgainLenny Kravitz,1,,72,1
12/29/2001,74,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,Ain't It FunnyJennifer Lopez Featuring Ja Rule,1,,74,1
2/14/2009,100,Ain't I,Yung L.A. Featuring Young Dro & T.I.,Ain't IYung L.A. Featuring Young Dro & T.I.,1,,100,1
6/24/2006,19,Ain't No Other Man,Christina Aguilera,Ain't No Other ManChristina Aguilera,1,,19,1
6/20/2009,92,Ain't No Rest For The Wicked,Cage The Elephant,Ain't No Rest For The WickedCage The Elephant,1,,92,1
6/6/2009,37,Ain't No Sunshine,Kris Allen,Ain't No SunshineKris Allen,1,,37,1
3/10/2001,77,Ain't Nothing 'Bout You,Brooks & Dunn,Ain't Nothing 'Bout YouBrooks & Dunn,1,,77,1
11/9/2002,69,Air Force Ones,"Nelly Featuring Kyjuan, Ali & Murphy Lee","Air Force OnesNelly Featuring Kyjuan, Ali & Murphy Lee",1,,69,1
7/2/2005,89,Alcohol,Brad Paisley,AlcoholBrad Paisley,1,,89,1
11/3/2001,76,Alive,P.O.D.,AliveP.O.D.,1,,76,1
1/12/2008,93,All Around Me,Flyleaf,All Around MeFlyleaf,1,,93,1
5/7/2005,91,All Because Of You,Marques Houston Featuring Young Rome,All Because Of YouMarques Houston Featuring Young Rome,1,,91,1
8/10/2002,70,All Eyez On Me,Monica,All Eyez On MeMonica,1,,70,1
3/13/2004,75,All Falls Down,Kanye West Featuring Syleena Johnson,All Falls DownKanye West Featuring Syleena Johnson,1,,75,1
9/1/2007,92,All For One,High School Musical 2 Cast,All For OneHigh School Musical 2 Cast,1,,92,1
3/17/2001,14,All For You,Janet,All For YouJanet,1,,14,1
5/26/2007,99,All Good Things (Come To An End),Nelly Furtado,All Good Things (Come To An End)Nelly Furtado,1,,99,1
12/23/2000,96,All Good?,De La Soul Featuring Chaka Khan,All Good?De La Soul Featuring Chaka Khan,1,,96,1
12/12/2009,99,All I Ask For Anymore,Trace Adkins,All I Ask For AnymoreTrace Adkins,1,,99,1
10/18/2008,95,All I Ever Wanted,Chuck Wicks,All I Ever WantedChuck Wicks,1,,95,1
12/28/2002,25,All I Have,Jennifer Lopez Featuring LL Cool J,All I HaveJennifer Lopez Featuring LL Cool J,1,,25,1
2/15/2003,99,All I Need,Fat Joe Featuring Tony Sunshine & Armageddon,All I NeedFat Joe Featuring Tony Sunshine & Armageddon,1,,99,1
1/8/2000,83,All I Want For Christmas Is You,Mariah Carey,All I Want For Christmas Is YouMariah Carey,1,,83,1
7/5/2008,91,All I Want To Do,Sugarland,All I Want To DoSugarland,1,,91,1
8/20/2005,97,All Jacked Up,Gretchen Wilson,All Jacked UpGretchen Wilson,1,,97,1
8/18/2007,90,All My Friends Say,Luke Bryan,All My Friends SayLuke Bryan,1,,90,1
11/2/2002,71,All My Life,Foo Fighters,All My LifeFoo Fighters,1,,71,1
6/9/2001,60,All Or Nothing,O-Town,All Or NothingO-Town,1,,60,1
